individualID,specimenID
R5210462,SM-CJEK3
R9679238,SM-CJFO9
R6163933,SM-CJGMU
R5126867,SM-CJIYX
R6280004,SM-CTDRO
R7702934,SM-CTEFE
R9886653,SM-CJEJT
R9314674,SM-CJEIM
R6155093,SM-CTEFL
R5893965,SM-CJJ1D
R2787688,SM-CJIZY
R5629689,SM-CTDUH
R5924065,SM-CJFOS
R1133959,SM-CJFP7
R3211474,SM-CJEGI
R5676537,MAP50106442
R4996203,SM-CTDU9
R3997006,SM-CJGML
R2830542,SM-CTDVP
R2144127,SM-CJIZX
R6679530,SM-CJJ1F
R4745715,SM-CTDUP
R9794121,SM-CTEGW
R7664813,SM-CJFL8
R2157677,SM-CJGMJ
R6216782,SM-CJFMO
R1234575,SM-CTDSM
R7063792,SM-CJFLX
R3176125,SM-CTDTG
R4439627,SM-CJK5N
R9996478,SM-CJFME
R1721075,SM-CJIX6
R1588427,SM-CJGIY
R4012015,SM-CTEF8
R1620679,SM-CJFNY
R2577726,SM-CJIZ4
R3877498,SM-CJGNT
R3811781,SM-CJGGR
R4323608,SM-CJK4L
R9419876,SM-CJIX5
R7295303,SM-CJJ2Z
R8774534,SM-CJEK5
R5739959,SM-CJIWU
R6284795,SM-CJEG6
R6289070,SM-CJJ1I
R5214048,SM-CJJ22
R8202775,SM-CJJ2E
R2879330,SM-CJJ2Q
R5394614,SM-CTECU
R2420066,SM-CJJ21
R3814553,SM-CTEEH
R8292982,SM-CJJ11
R2975126,SM-CTED8
R8125311,SM-CJGN4
R5138383,SM-CJEJB
R2393217,SM-CJFOT
R5518725,SM-CJFN2
R8472815,SM-CJGN3
R2086195,SM-CTEF7
R3512949,SM-CTDVR
R6086139,SM-CJGMP
R2529284,SM-CTEFU
R9540861,SM-CJFO8
R3840906,SM-CTDVD
R6828280,SM-CJJ1N
R5061712,SM-CTDV6
R6600608,SM-CJEG7
R8057601,SM-CJEHV
R8003745,SM-CJFOK
R4927046,SM-CJJ1O
R2396089,SM-CJK3W
R7029629,SM-CJGNB
R4005989,SM-CTDU7
R4928630,SM-CJFLW
R8093392,SM-CJFKU
R5133113,SM-CJFL4
R4744901,SM-CJFKG
R7506996,SM-CJFLT
R4516201,SM-CJEJZ
R1933335,SM-CJJ1A
