,highly_variable,means,dispersions,dispersions_norm
DDR2,True,0.20740511621236232,1.2610451624613674,1.4447811
RGS5,True,0.22814968103848215,1.6973279176608032,2.4934661
RCSD1,True,0.1690662582060908,1.8622165387901572,2.889806
SELL,True,0.016459320695008862,1.1840414023091488,1.2596885
SELE,True,0.008201988033907525,2.0465993315636886,3.3330038
PRRX1,True,0.26523387295901324,1.517823754931415,2.0619953
BX284613.2,True,0.16125739589337665,2.329488522959081,4.0129795
MROH9,True,0.03420657058447472,1.7365954839942084,2.587853
FMO2,True,0.012186945558535415,1.9500025178487774,3.1008155
FMO4,True,0.04588020745691913,1.2241001984652409,1.355977
PIGC,True,0.3446762433672936,1.1913118985746223,1.2750934
KIAA0040,True,0.012788728174865309,1.2219464083360685,1.3508
TNR,True,1.5099504366969219,2.727208106329003,1.9858812
GLUL,True,1.0053636784087356,2.371333173666722,2.8047924
RGS16,True,0.050420411037238724,1.4131926804494979,1.8104954
NPL,True,0.4502506803021853,1.7371618488837741,2.6420288
NCF2,True,0.019676164043418404,1.2769656050896265,1.4830487
COLGALT2,True,0.8249615219326034,1.3496497616501577,1.2720524
NIBAN1,True,0.11056495631889271,2.206231335973379,3.7167084
HMCN1,True,0.016300948139480992,1.4549886401286196,1.9109596
PLA2G4A,True,0.1809325846916597,1.4547259711406586,1.9103281
ERVMER61-1,True,0.050068529039248647,1.251114342429072,1.4209105
BRINP3,True,1.24441697964082,1.8634907558497689,1.3730285
RGS18,True,0.021482033589348772,1.573138222738073,2.1949537
RGS1,True,0.1095786789606838,2.7883588473311662,5.1159577
CFH,True,0.040649937255260164,2.538270215576607,4.5148244
CRB1,True,0.7848519753703141,1.550320566383827,1.7056559
PTPRC,True,0.3036781377149054,2.637887460393271,4.8976555
MIR181A1HG,True,1.009260805582709,1.5979443617260418,1.3702023
CSRP1,True,0.46605628048784414,1.596145351169446,2.2888906
IPO9-AS1,True,0.4092547346790596,1.3948861510762436,1.7848908
GPR37L1,True,0.22943219904012616,1.4797177311653884,1.9704005
CHI3L1,True,0.19671875740578718,3.0270689869896077,5.689741
BTG2,True,0.12000590610029209,1.2412038927524793,1.3970889
FMOD,True,0.0038565609031057284,1.271696254805688,1.4703829
PRELP,True,0.0710174303884621,1.5310369055468842,2.0937555
CNTN2,True,0.6536361730263762,1.8529758367389053,2.3596246
CDK18,True,0.550360376724679,1.6977727990430973,2.5433893
SLC45A3,True,0.059904961789093436,1.1849473710196199,1.2618661
SRGAP2,True,0.9366560972029249,2.353723684979177,2.7721279
IL10,True,0.002724106720769287,1.1799978644044768,1.2499691
FCMR,True,0.001218545130465508,1.208640401971632,1.3188167
CD55,True,0.32494645135982647,1.3936609832804485,1.7818227
CR1,True,0.03901125682272051,1.6220949864527152,2.3126302
CD34,True,0.01376564895417715,1.8472275953149102,2.8537774
HSD11B1,True,0.11202109060945671,1.369693955228577,1.7059382
TRAF3IP3,True,0.04606879167076065,1.3914505478726045,1.7582341
LPGAT1,True,1.0508492337889341,1.678619155725908,1.5198492
ATF3,True,0.042410275107862494,1.3802911480821987,1.7314105
PROX1-AS1,True,0.2415645684495751,1.408801386473885,1.7999401
PROX1,True,0.374810350531022,1.3235382623018754,1.606219
TGFB2,True,0.3345045071371221,1.4253583601859927,1.8612002
DUSP10,True,0.1841821433643338,1.2283941704150225,1.3662984
FAM177B,True,0.10624179535815591,2.096392748211874,3.4526913
DISP1,True,0.4637527585851726,1.6294281878617736,2.3722386
TLR5,True,0.06077278886159914,1.5980341755337115,2.2547956
TMEM63A,True,0.4271791184049664,1.7506211881099767,2.675734
ITPKB,True,0.6228725658525446,1.9910034883816694,2.6578705
ITPKB-AS1,True,0.044295854937193846,1.2091180411016613,1.3199648
GJC2,True,0.06257082941530012,1.1863972948221453,1.2653513
RHOU,True,0.3666279912427183,1.664186686843204,2.459282
AGT,True,0.19145095488931455,1.4881813483853734,1.9907442
DISC1,True,0.6897608322961694,2.4105854124434662,3.5644908
NID1,True,0.06995859143362643,1.792612886302191,2.722501
PLD5,True,1.0021143788961075,2.038714800535432,2.1878052
KIF26B,True,0.8674096213547521,1.882512299725551,1.8980588
SILC1,True,0.5859645413155796,1.4161346864439146,1.415711
ID2,True,0.38295705177146466,1.2203470242764343,1.3478042
MIR3681HG,True,0.2931776564043838,2.1057610067537484,3.5650868
MATN3,True,0.0038335280540269076,1.28066633254715,1.4919441
RHOB,True,0.38758346205512684,1.1544543698226424,1.1827936
DPYSL5,True,0.5158893819493277,1.1754959983988513,1.2354867
ALK,True,0.7436371731014476,1.9900731193059555,2.6558604
LTBP1,True,0.3879219453358122,1.4174791325101541,1.8414688
RASGRP3,True,0.2727681884139689,1.5623967937745253,2.1691346
CYP1B1,True,0.10004581943534066,1.4578328042145636,1.917796
ZFP36L2,True,0.25895551249713766,1.972090401602741,3.1539078
PLEKHH2,True,0.21756677661793514,1.340523405323354,1.6358215
EPAS1,True,0.13876247530871574,2.524014118880133,4.480557
TTC7A,True,0.4923886479115598,1.2592882373770777,1.445322
EPCAM-DT,True,0.245088094806374,1.5748258312231604,2.1990101
FOXN2,True,0.5582444134384184,1.3141040773827921,1.5825937
LHCGR,True,0.016974817648925767,1.3142403491249615,1.5726454
FSHR,True,0.11367725771876154,1.7284418514301951,2.5682542
RPS27A,True,0.6558932925333903,1.407669789762951,1.3974204
EFEMP1,True,0.31670383178899875,1.963225667174783,3.2081451
VRK2,True,0.5487678733347221,2.171214636620762,3.728998
PELI1,True,0.4634792797430489,1.6532814866765984,2.4319727
MEIS1,True,0.3361635878251504,1.348782868256441,1.6694374
PLEK,True,0.04250535071884691,2.074269665505762,3.3995144
ARHGAP25,True,0.18989750187090687,1.9621306825720695,3.129968
TGFA,True,0.1162555143500726,1.2085303246903298,1.318552
DYSF,True,0.4778773019387201,1.4384241419210089,1.8939201
ACTG2,True,0.0021153380429825173,1.4543931660263663,1.9095283
RTKN,True,0.15199830549091645,1.2955742879276824,1.5277781
HK2,True,0.051740384074159915,1.6643646200759796,2.414233
TACR1,True,0.20908201327785128,1.1760042614054624,1.2403698
TMSB10,True,0.8615826073979651,1.7897177675197184,1.7259305
TCF7L1,True,0.15783459533450683,1.3698778227780548,1.7063801
CAPG,True,0.023506990945704305,1.1563564728318652,1.1931427
VAMP5,True,0.023667443207694955,1.2012482086294431,1.3010482
GNLY,True,0.01968845350264107,1.783657035602394,2.700974
ST3GAL5-AS1,True,0.030563801200431416,1.1963342193484268,1.2892365
IGKC,True,0.0027060689567177487,5.459216039791962,11.53585
MAL,True,0.404532706425877,1.8681162487116052,2.969969
MGAT4A,True,0.7844376492333343,1.567115001669953,1.7419449
IL1R2,True,0.005026851265946102,3.8510891116593635,7.670424
IL1R1,True,0.034437181514355625,1.6410695696443112,2.358239
IL1RL1,True,0.009556705433554774,2.721833918791595,4.9560533
IL18R1,True,0.013140905280685698,1.5100422243274358,2.0432909
IL18RAP,True,0.0013126191804562065,1.4130370615498742,1.8101213
NCK2,True,0.7070730272250754,1.424362930813625,1.4334904
SH3RF3,True,1.1453435590765169,1.8870156833825176,1.4113966
MERTK,True,0.5495375381578875,2.167112741142912,3.718726
IL1A,True,0.004744152071723931,1.9009069404265269,2.9828055
IL1B,True,0.014941339988837399,2.620111352340704,4.7115445
IL1RN,True,0.0009878006271076354,1.5519279549901737,2.143971
DPP10,True,3.2761227075701735,4.278126892619289,1.9970645
DPP10-AS3,True,0.18848616008818236,1.202938676146514,1.3051115
MARCO,True,0.0030206442082837295,2.7109400540331876,4.9298677
DBI,True,0.2169502544189445,1.190831777871192,1.2760104
TMEM37,True,0.0028276559154612494,1.1625977266363043,1.2081447
GLI2,True,0.115684459179406,1.2301809085551705,1.3705932
GYPC,True,0.04549513983170072,1.365222882498914,1.6951911
BIN1,True,0.8119461306986062,1.3284263963438387,1.2261935
LIMS2,True,0.026923469907730622,1.2126705138806781,1.3285037
GPR17,True,0.030208889294854716,2.077324356293363,3.4068568
NCKAP5,True,1.526015732032407,2.9192251783040413,2.2651763
NCKAP5-AS1,True,0.03234812199884575,1.3033516833098984,1.5464724
NCKAP5-AS2,True,0.08259067883122381,1.262957307773243,1.4493773
TMEM163,True,0.5800410195522266,2.3045477111370167,3.3353677
CXCR4,True,0.023476193475683697,1.630180871664035,2.332066
THSD7B,True,0.44978701329495563,2.6941987820799156,5.038672
